"VCI.IQ"	"PRI.IQ"	"BDI.Total"	"STAI.Trait"	"PANAS.Positive"	"PANAS.Negative"	"PSS"	"EQ"	"SQ"	"SNI.People"	"X16PF.Warmth"	"X16PF.Reasoning"	"X16PF.Emot..Stabil."	"X16PF.Dominance"	"X16PF.Liveliness"	"X16PF.Rule.Conscious"	"X16PF.Social.Boldness"	"X16PF.Sensitivity"	"X16PF.Vigilance"	"X16PF.Abstractedness"	"X16PF.Privateness"	"X16PF.Apprehension"	"X16PF.Open.to.Change"	"X16PF.Self.Reliance"	"X16PF.Perfectionism"	"X16PF.Tension"
"VCI.IQ"	1	0.436343024758281	-0.109811550956891	-0.0331274070738542	-0.0437151764970973	-0.140651416255821	-0.0784317959480316	0.172206875256218	-0.00961055082257015	0.0781500551207175	-0.0453530521193709	0.560251357336338	-0.0714976307561784	-0.153871561894722	-0.0130088982332705	-0.29035165734575	-0.132820504208078	0.138861871753766	-0.247512722861545	0.225350768658498	-0.175320382359991	0.112934502003964	0.265688190416846	0.0247883089565	-0.305246184615222	0.209259613282183
"PRI.IQ"	0.436343024758281	1	0.0789638396004356	0.0428839095913848	-0.157419203317504	0.141926038908843	0.0148101568802577	-0.0226800373542338	0.0167841006426166	0.0741365461960098	-0.125032295107944	0.573085356248017	-0.187546993013311	-0.0153317026090229	-0.0575834112595472	-0.244707247315991	-0.154690636201846	-0.00361361875759518	-0.00853572557379242	0.180883270139909	-0.11816589490298	0.189960848186136	0.254459300864716	-0.0200420234281252	-0.222266609215701	0.0464958033096472
"BDI.Total"	-0.109811550956891	0.0789638396004356	1	0.586659308900131	-0.276118678976009	0.372906046483868	0.646384486352609	-0.423477483081924	-0.100651746765183	-0.210085312110522	-0.13086559874761	-0.18083555403586	-0.460616596493699	-0.000597048001005151	-0.210723616422841	0.0164574795880633	-0.267865628351357	-0.136126719536057	0.32217350769317	0.214293852390181	0.121390657921723	0.425426508283258	-0.151732189341827	0.185560501713852	0.130276435241122	0.161133478060006
"STAI.Trait"	-0.0331274070738542	0.0428839095913848	0.586659308900131	1	-0.479429529482687	0.411134156974919	0.767045425715051	-0.505160154899531	-0.210077136118378	-0.296444249448161	-0.195720762789711	-0.0407988589799969	-0.689349371411211	-0.114952854239243	-0.183783069978032	-0.0433492435491829	-0.320585407601606	-0.105944290460863	0.33587280899088	0.242238142721876	0.133301143174534	0.611378560846916	-0.193565710048455	0.0962084297525263	0.137744605711434	0.413990147784882
"PANAS.Positive"	-0.0437151764970973	-0.157419203317504	-0.276118678976009	-0.479429529482687	1	0.0155541389307692	-0.421691753662897	0.354548814112592	0.42135193835021	0.169970703517487	0.26091407824913	-0.165085132705422	0.419184544728865	0.227768762538628	0.207090653133059	0.204528187446017	0.295619932949098	0.0723812775223876	-0.117341300515753	-0.0637891389378436	-0.179408598592084	-0.226136646890865	0.0908041525671018	-0.0539950213641597	0.147268169117261	-0.270473531147172
"PANAS.Negative"	-0.140651416255821	0.141926038908843	0.372906046483868	0.411134156974919	0.0155541389307692	1	0.382903272654369	-0.198108753290455	-0.0338697877200586	-0.0745773534845639	-0.0202723057526518	-0.0852532724153431	-0.310265034685814	0.0458215721141219	-0.033091761253792	-0.0162959573947272	-0.109944624964602	-0.0671485127662438	0.229188722841199	0.219981924109053	-0.0212334868000179	0.264275349881599	-0.12722697488439	0.0221481114017672	-0.00833462219269698	0.20595381914814
"PSS"	-0.0784317959480316	0.0148101568802577	0.646384486352609	0.767045425715051	-0.421691753662897	0.382903272654369	1	-0.514143108831855	-0.214809617140741	-0.290139585789753	-0.141904020259205	-0.128310108027241	-0.632157494695986	-0.02522135337848	-0.1950449863855	0.0458714103940086	-0.243313062098944	-0.106259906889425	0.376021515417351	0.319873033451917	0.0891135436036137	0.568289656914742	-0.121199901949068	0.131935973311602	0.0907500909794902	0.365088705593819
"EQ"	0.172206875256218	-0.0226800373542338	-0.423477483081924	-0.505160154899531	0.354548814112592	-0.198108753290455	-0.514143108831855	1	0.212802314347297	0.26688523311807	0.286954633279937	0.0773257453596775	0.354322057585572	-0.105149874146552	0.162799596569751	0.142394982316797	0.244900109841389	0.200856608209306	-0.361470658745413	-0.140232774769877	-0.311152723655361	-0.2792419985481	0.256094023379376	-0.114697343168241	-0.0628652152060933	-0.278271414332671
"SQ"	-0.00961055082257015	0.0167841006426166	-0.100651746765183	-0.210077136118378	0.42135193835021	-0.0338697877200586	-0.214809617140741	0.212802314347297	1	0.133796281584531	-0.0476140006588121	0.0354843601817899	0.231160523634395	0.271887320599633	0.111245949132267	0.0224156174093906	0.171208643346462	-0.100811161056562	0.0972102828136586	0.0257075682686172	0.0923061901472651	-0.0586560144467574	0.139328114288817	0.105013469822053	0.268059807235131	-0.216472888010494
"SNI.People"	0.0781500551207175	0.0741365461960098	-0.210085312110522	-0.296444249448161	0.169970703517487	-0.0745773534845639	-0.290139585789753	0.26688523311807	0.133796281584531	1	0.264719180122632	0.0651242361450493	0.26013446696142	0.0678293682900729	0.30431055667476	0.0039240131035675	0.195947930773135	0.0310910779250649	-0.123738149267387	-0.0325915230744254	-0.208192992678112	-0.0316535015663374	0.117783158295998	-0.234981400909736	-0.0988632495691865	-0.152161280047524
"X16PF.Warmth"	-0.0453530521193709	-0.125032295107944	-0.13086559874761	-0.195720762789711	0.26091407824913	-0.0202723057526518	-0.141904020259205	0.286954633279937	-0.0476140006588121	0.264719180122632	1	-0.218356022656354	0.211125766315489	0.103446623163655	0.340897421835288	0.160736173622183	0.379179529732904	0.261492152299803	-0.135857283190822	-0.0779050582946994	-0.379513718716902	-0.00541342537486264	0.13473174769798	-0.360284264303868	-0.0640994712936537	-0.154115995095823
"X16PF.Reasoning"	0.560251357336338	0.573085356248017	-0.18083555403586	-0.0407988589799969	-0.165085132705422	-0.0852532724153431	-0.128310108027241	0.0773257453596775	0.0354843601817899	0.0651242361450493	-0.218356022656354	1	-0.0523215810269829	-0.106983773363932	-0.0330895437916112	-0.316213146625152	-0.101064925037166	0.00828452773005807	-0.205262862933624	0.120601124920501	-0.133156475759455	0.051046852922781	0.299245059161639	-0.0349186491090732	-0.24857250338589	0.142244963719881
"X16PF.Emot..Stabil."	-0.0714976307561784	-0.187546993013311	-0.460616596493699	-0.689349371411211	0.419184544728865	-0.310265034685814	-0.632157494695986	0.354322057585572	0.231160523634395	0.26013446696142	0.211125766315489	-0.0523215810269829	1	0.180826056239905	0.261950628070766	0.0734045990048833	0.336277940553087	0.0732723508584896	-0.316614083442963	-0.335728909736586	-0.201381836205191	-0.585336516710842	0.0583440605108111	-0.261074150776179	0.0415520502813675	-0.427331134829482
"X16PF.Dominance"	-0.153871561894722	-0.0153317026090229	-0.000597048001005151	-0.114952854239243	0.227768762538628	0.0458215721141219	-0.02522135337848	-0.105149874146552	0.271887320599633	0.0678293682900729	0.103446623163655	-0.106983773363932	0.180826056239905	1	0.0649866308256498	-0.0166505918223457	0.396077429957843	-0.0128811944011979	0.174200161226393	0.0397225908852969	-0.0364604500591935	-0.174708038867394	0.203021797163885	-0.015691822440392	0.233354238816157	-0.0403130011198401
"X16PF.Liveliness"	-0.0130088982332705	-0.0575834112595472	-0.210723616422841	-0.183783069978032	0.207090653133059	-0.033091761253792	-0.1950449863855	0.162799596569751	0.111245949132267	0.30431055667476	0.340897421835288	-0.0330895437916112	0.261950628070766	0.0649866308256498	1	-0.0924635892214521	0.436646224491606	0.144714799235898	0.0297937753041592	0.0858483333798667	-0.184297974066339	0.00227360106775425	0.192155722286406	-0.523816093011434	-0.123261859898705	-0.00929488289629725
"X16PF.Rule.Conscious"	-0.29035165734575	-0.244707247315991	0.0164574795880633	-0.0433492435491829	0.204528187446017	-0.0162959573947272	0.0458714103940086	0.142394982316797	0.0224156174093906	0.0039240131035675	0.160736173622183	-0.316213146625152	0.0734045990048833	-0.0166505918223457	-0.0924635892214521	1	0.070146815312301	-0.0012151762730925	0.0330958519815591	-0.344185895079782	0.0307466542224731	-0.0465244615160459	-0.337064810704506	-0.0185554406732838	0.299200363942865	-0.0887501103971104
"X16PF.Social.Boldness"	-0.132820504208078	-0.154690636201846	-0.267865628351357	-0.320585407601606	0.295619932949098	-0.109944624964602	-0.243313062098944	0.244900109841389	0.171208643346462	0.195947930773135	0.379179529732904	-0.101064925037166	0.336277940553087	0.396077429957843	0.436646224491606	0.070146815312301	1	0.088569880542242	-0.0268272956776706	0.0117201424237361	-0.301048972188712	-0.288815200887599	0.256148833522828	-0.19098830938825	0.0804100488995898	-0.164463717488456
"X16PF.Sensitivity"	0.138861871753766	-0.00361361875759518	-0.136126719536057	-0.105944290460863	0.0723812775223876	-0.0671485127662438	-0.106259906889425	0.200856608209306	-0.100811161056562	0.0310910779250649	0.261492152299803	0.00828452773005807	0.0732723508584896	-0.0128811944011979	0.144714799235898	-0.0012151762730925	0.088569880542242	1	-0.273397071272292	0.169016089509354	-0.0409610925398913	0.00335682299640497	0.190132525499069	0.0178664949742116	-0.207973286392466	-0.138931595365541
"X16PF.Vigilance"	-0.247512722861545	-0.00853572557379242	0.32217350769317	0.33587280899088	-0.117341300515753	0.229188722841199	0.376021515417351	-0.361470658745413	0.0972102828136586	-0.123738149267387	-0.135857283190822	-0.205262862933624	-0.316614083442963	0.174200161226393	0.0297937753041592	0.0330958519815591	-0.0268272956776706	-0.273397071272292	1	0.142948896098161	0.337388048731569	0.368769603760824	-0.158187254854329	0.126481823862698	0.294700377482082	0.272228217696513
"X16PF.Abstractedness"	0.225350768658498	0.180883270139909	0.214293852390181	0.242238142721876	-0.0637891389378436	0.219981924109053	0.319873033451917	-0.140232774769877	0.0257075682686172	-0.0325915230744254	-0.0779050582946994	0.120601124920501	-0.335728909736586	0.0397225908852969	0.0858483333798667	-0.344185895079782	0.0117201424237361	0.169016089509354	0.142948896098161	1	-0.0702823500618545	0.331989727165873	0.306251069386507	0.0348064424096119	-0.291363647147976	0.133710290708515
"X16PF.Privateness"	-0.175320382359991	-0.11816589490298	0.121390657921723	0.133301143174534	-0.179408598592084	-0.0212334868000179	0.0891135436036137	-0.311152723655361	0.0923061901472651	-0.208192992678112	-0.379513718716902	-0.133156475759455	-0.201381836205191	-0.0364604500591935	-0.184297974066339	0.0307466542224731	-0.301048972188712	-0.0409610925398913	0.337388048731569	-0.0702823500618545	1	0.0988552680814135	-0.255737454650801	0.333531474526062	0.155701869532184	0.0938835234673905
"X16PF.Apprehension"	0.112934502003964	0.189960848186136	0.425426508283258	0.611378560846916	-0.226136646890865	0.264275349881599	0.568289656914742	-0.2792419985481	-0.0586560144467574	-0.0316535015663374	-0.00541342537486264	0.051046852922781	-0.585336516710842	-0.174708038867394	0.00227360106775425	-0.0465244615160459	-0.288815200887599	0.00335682299640497	0.368769603760824	0.331989727165873	0.0988552680814135	1	-0.0170180034199067	-0.0227221933668949	0.154530007947681	0.487799128147962
"X16PF.Open.to.Change"	0.265688190416846	0.254459300864716	-0.151732189341827	-0.193565710048455	0.0908041525671018	-0.12722697488439	-0.121199901949068	0.256094023379376	0.139328114288817	0.117783158295998	0.13473174769798	0.299245059161639	0.0583440605108111	0.203021797163885	0.192155722286406	-0.337064810704506	0.256148833522828	0.190132525499069	-0.158187254854329	0.306251069386507	-0.255737454650801	-0.0170180034199067	1	-0.0271084048851184	-0.213826054573089	-0.133185231542051
"X16PF.Self.Reliance"	0.0247883089565	-0.0200420234281252	0.185560501713852	0.0962084297525263	-0.0539950213641597	0.0221481114017672	0.131935973311602	-0.114697343168241	0.105013469822053	-0.234981400909736	-0.360284264303868	-0.0349186491090732	-0.261074150776179	-0.015691822440392	-0.523816093011434	-0.0185554406732838	-0.19098830938825	0.0178664949742116	0.126481823862698	0.0348064424096119	0.333531474526062	-0.0227221933668949	-0.0271084048851184	1	0.182680294977595	0.0342248289302379
"X16PF.Perfectionism"	-0.305246184615222	-0.222266609215701	0.130276435241122	0.137744605711434	0.147268169117261	-0.00833462219269698	0.0907500909794902	-0.0628652152060933	0.268059807235131	-0.0988632495691865	-0.0640994712936537	-0.24857250338589	0.0415520502813675	0.233354238816157	-0.123261859898705	0.299200363942865	0.0804100488995898	-0.207973286392466	0.294700377482082	-0.291363647147976	0.155701869532184	0.154530007947681	-0.213826054573089	0.182680294977595	1	0.029876604778981
"X16PF.Tension"	0.209259613282183	0.0464958033096472	0.161133478060006	0.413990147784882	-0.270473531147172	0.20595381914814	0.365088705593819	-0.278271414332671	-0.216472888010494	-0.152161280047524	-0.154115995095823	0.142244963719881	-0.427331134829482	-0.0403130011198401	-0.00929488289629725	-0.0887501103971104	-0.164463717488456	-0.138931595365541	0.272228217696513	0.133710290708515	0.0938835234673905	0.487799128147962	-0.133185231542051	0.0342248289302379	0.029876604778981	1
