"STAI Trait"	"PSS"	"16PF Emot. Stabil."	"16PF Apprehension"	"BDI Total"	"EQ"	"16PF Tension"	"16PF Vigilance"	"PANAS Negative"	"PANAS Positive"	"16PF Abstractedness"	"16PF Reasoning"	"VCI IQ"	"PRI IQ"	"16PF Rule Conscious"	"16PF Open to Change"	"16PF Warmth"	"16PF Liveliness"	"16PF Self Reliance"	"16PF Privateness"	"16PF Social Boldness"	"SNI People"	"16PF Sensitivity"	"SQ"	"16PF Dominance"	"16PF Perfectionism"
"STAI Trait"	1	0.767045425715051	-0.689349371411211	0.611378560846916	0.586659308900131	-0.505160154899531	0.413990147784882	0.33587280899088	0.411134156974919	-0.479429529482687	0.242238142721876	-0.0407988589799969	-0.0331274070738542	0.0428839095913848	-0.0433492435491829	-0.193565710048455	-0.195720762789711	-0.183783069978032	0.0962084297525263	0.133301143174534	-0.320585407601606	-0.296444249448161	-0.105944290460863	-0.210077136118378	-0.114952854239243	0.137744605711434
"PSS"	0.767045425715051	1	-0.632157494695986	0.568289656914742	0.646384486352609	-0.514143108831855	0.365088705593819	0.376021515417351	0.382903272654369	-0.421691753662897	0.319873033451917	-0.128310108027241	-0.0784317959480316	0.0148101568802577	0.0458714103940086	-0.121199901949068	-0.141904020259205	-0.1950449863855	0.131935973311602	0.0891135436036137	-0.243313062098944	-0.290139585789753	-0.106259906889425	-0.214809617140741	-0.02522135337848	0.0907500909794902
"16PF Emot. Stabil."	-0.689349371411211	-0.632157494695986	1	-0.585336516710842	-0.460616596493699	0.354322057585572	-0.427331134829482	-0.316614083442963	-0.310265034685814	0.419184544728865	-0.335728909736586	-0.0523215810269829	-0.0714976307561784	-0.187546993013311	0.0734045990048833	0.0583440605108111	0.211125766315489	0.261950628070766	-0.261074150776179	-0.201381836205191	0.336277940553087	0.26013446696142	0.0732723508584896	0.231160523634395	0.180826056239905	0.0415520502813675
"16PF Apprehension"	0.611378560846916	0.568289656914742	-0.585336516710842	1	0.425426508283258	-0.2792419985481	0.487799128147962	0.368769603760824	0.264275349881599	-0.226136646890865	0.331989727165873	0.051046852922781	0.112934502003964	0.189960848186136	-0.0465244615160459	-0.0170180034199067	-0.00541342537486264	0.00227360106775425	-0.0227221933668949	0.0988552680814135	-0.288815200887599	-0.0316535015663374	0.00335682299640497	-0.0586560144467574	-0.174708038867394	0.154530007947681
"BDI Total"	0.586659308900131	0.646384486352609	-0.460616596493699	0.425426508283258	1	-0.423477483081924	0.161133478060006	0.32217350769317	0.372906046483868	-0.276118678976009	0.214293852390181	-0.18083555403586	-0.109811550956891	0.0789638396004356	0.0164574795880633	-0.151732189341827	-0.13086559874761	-0.210723616422841	0.185560501713852	0.121390657921723	-0.267865628351357	-0.210085312110522	-0.136126719536057	-0.100651746765183	-0.000597048001005151	0.130276435241122
"EQ"	-0.505160154899531	-0.514143108831855	0.354322057585572	-0.2792419985481	-0.423477483081924	1	-0.278271414332671	-0.361470658745413	-0.198108753290455	0.354548814112592	-0.140232774769877	0.0773257453596775	0.172206875256218	-0.0226800373542338	0.142394982316797	0.256094023379376	0.286954633279937	0.162799596569751	-0.114697343168241	-0.311152723655361	0.244900109841389	0.26688523311807	0.200856608209306	0.212802314347297	-0.105149874146552	-0.0628652152060933
"16PF Tension"	0.413990147784882	0.365088705593819	-0.427331134829482	0.487799128147962	0.161133478060006	-0.278271414332671	1	0.272228217696513	0.20595381914814	-0.270473531147172	0.133710290708515	0.142244963719881	0.209259613282183	0.0464958033096472	-0.0887501103971104	-0.133185231542051	-0.154115995095823	-0.00929488289629725	0.0342248289302379	0.0938835234673905	-0.164463717488456	-0.152161280047524	-0.138931595365541	-0.216472888010494	-0.0403130011198401	0.029876604778981
"16PF Vigilance"	0.33587280899088	0.376021515417351	-0.316614083442963	0.368769603760824	0.32217350769317	-0.361470658745413	0.272228217696513	1	0.229188722841199	-0.117341300515753	0.142948896098161	-0.205262862933624	-0.247512722861545	-0.00853572557379242	0.0330958519815591	-0.158187254854329	-0.135857283190822	0.0297937753041592	0.126481823862698	0.337388048731569	-0.0268272956776706	-0.123738149267387	-0.273397071272292	0.0972102828136586	0.174200161226393	0.294700377482082
"PANAS Negative"	0.411134156974919	0.382903272654369	-0.310265034685814	0.264275349881599	0.372906046483868	-0.198108753290455	0.20595381914814	0.229188722841199	1	0.0155541389307692	0.219981924109053	-0.0852532724153431	-0.140651416255821	0.141926038908843	-0.0162959573947272	-0.12722697488439	-0.0202723057526518	-0.033091761253792	0.0221481114017672	-0.0212334868000179	-0.109944624964602	-0.0745773534845639	-0.0671485127662438	-0.0338697877200586	0.0458215721141219	-0.00833462219269698
"PANAS Positive"	-0.479429529482687	-0.421691753662897	0.419184544728865	-0.226136646890865	-0.276118678976009	0.354548814112592	-0.270473531147172	-0.117341300515753	0.0155541389307692	1	-0.0637891389378436	-0.165085132705422	-0.0437151764970973	-0.157419203317504	0.204528187446017	0.0908041525671018	0.26091407824913	0.207090653133059	-0.0539950213641597	-0.179408598592084	0.295619932949098	0.169970703517487	0.0723812775223876	0.42135193835021	0.227768762538628	0.147268169117261
"16PF Abstractedness"	0.242238142721876	0.319873033451917	-0.335728909736586	0.331989727165873	0.214293852390181	-0.140232774769877	0.133710290708515	0.142948896098161	0.219981924109053	-0.0637891389378436	1	0.120601124920501	0.225350768658498	0.180883270139909	-0.344185895079782	0.306251069386507	-0.0779050582946994	0.0858483333798667	0.0348064424096119	-0.0702823500618545	0.0117201424237361	-0.0325915230744254	0.169016089509354	0.0257075682686172	0.0397225908852969	-0.291363647147976
"16PF Reasoning"	-0.0407988589799969	-0.128310108027241	-0.0523215810269829	0.051046852922781	-0.18083555403586	0.0773257453596775	0.142244963719881	-0.205262862933624	-0.0852532724153431	-0.165085132705422	0.120601124920501	1	0.560251357336338	0.573085356248017	-0.316213146625152	0.299245059161639	-0.218356022656354	-0.0330895437916112	-0.0349186491090732	-0.133156475759455	-0.101064925037166	0.0651242361450493	0.00828452773005807	0.0354843601817899	-0.106983773363932	-0.24857250338589
"VCI IQ"	-0.0331274070738542	-0.0784317959480316	-0.0714976307561784	0.112934502003964	-0.109811550956891	0.172206875256218	0.209259613282183	-0.247512722861545	-0.140651416255821	-0.0437151764970973	0.225350768658498	0.560251357336338	1	0.436343024758281	-0.29035165734575	0.265688190416846	-0.0453530521193709	-0.0130088982332705	0.0247883089565	-0.175320382359991	-0.132820504208078	0.0781500551207175	0.138861871753766	-0.00961055082257015	-0.153871561894722	-0.305246184615222
"PRI IQ"	0.0428839095913848	0.0148101568802577	-0.187546993013311	0.189960848186136	0.0789638396004356	-0.0226800373542338	0.0464958033096472	-0.00853572557379242	0.141926038908843	-0.157419203317504	0.180883270139909	0.573085356248017	0.436343024758281	1	-0.244707247315991	0.254459300864716	-0.125032295107944	-0.0575834112595472	-0.0200420234281252	-0.11816589490298	-0.154690636201846	0.0741365461960098	-0.00361361875759518	0.0167841006426166	-0.0153317026090229	-0.222266609215701
"16PF Rule Conscious"	-0.0433492435491829	0.0458714103940086	0.0734045990048833	-0.0465244615160459	0.0164574795880633	0.142394982316797	-0.0887501103971104	0.0330958519815591	-0.0162959573947272	0.204528187446017	-0.344185895079782	-0.316213146625152	-0.29035165734575	-0.244707247315991	1	-0.337064810704506	0.160736173622183	-0.0924635892214521	-0.0185554406732838	0.0307466542224731	0.070146815312301	0.0039240131035675	-0.0012151762730925	0.0224156174093906	-0.0166505918223457	0.299200363942865
"16PF Open to Change"	-0.193565710048455	-0.121199901949068	0.0583440605108111	-0.0170180034199067	-0.151732189341827	0.256094023379376	-0.133185231542051	-0.158187254854329	-0.12722697488439	0.0908041525671018	0.306251069386507	0.299245059161639	0.265688190416846	0.254459300864716	-0.337064810704506	1	0.13473174769798	0.192155722286406	-0.0271084048851184	-0.255737454650801	0.256148833522828	0.117783158295998	0.190132525499069	0.139328114288817	0.203021797163885	-0.213826054573089
"16PF Warmth"	-0.195720762789711	-0.141904020259205	0.211125766315489	-0.00541342537486264	-0.13086559874761	0.286954633279937	-0.154115995095823	-0.135857283190822	-0.0202723057526518	0.26091407824913	-0.0779050582946994	-0.218356022656354	-0.0453530521193709	-0.125032295107944	0.160736173622183	0.13473174769798	1	0.340897421835288	-0.360284264303868	-0.379513718716902	0.379179529732904	0.264719180122632	0.261492152299803	-0.0476140006588121	0.103446623163655	-0.0640994712936537
"16PF Liveliness"	-0.183783069978032	-0.1950449863855	0.261950628070766	0.00227360106775425	-0.210723616422841	0.162799596569751	-0.00929488289629725	0.0297937753041592	-0.033091761253792	0.207090653133059	0.0858483333798667	-0.0330895437916112	-0.0130088982332705	-0.0575834112595472	-0.0924635892214521	0.192155722286406	0.340897421835288	1	-0.523816093011434	-0.184297974066339	0.436646224491606	0.30431055667476	0.144714799235898	0.111245949132267	0.0649866308256498	-0.123261859898705
"16PF Self Reliance"	0.0962084297525263	0.131935973311602	-0.261074150776179	-0.0227221933668949	0.185560501713852	-0.114697343168241	0.0342248289302379	0.126481823862698	0.0221481114017672	-0.0539950213641597	0.0348064424096119	-0.0349186491090732	0.0247883089565	-0.0200420234281252	-0.0185554406732838	-0.0271084048851184	-0.360284264303868	-0.523816093011434	1	0.333531474526062	-0.19098830938825	-0.234981400909736	0.0178664949742116	0.105013469822053	-0.015691822440392	0.182680294977595
"16PF Privateness"	0.133301143174534	0.0891135436036137	-0.201381836205191	0.0988552680814135	0.121390657921723	-0.311152723655361	0.0938835234673905	0.337388048731569	-0.0212334868000179	-0.179408598592084	-0.0702823500618545	-0.133156475759455	-0.175320382359991	-0.11816589490298	0.0307466542224731	-0.255737454650801	-0.379513718716902	-0.184297974066339	0.333531474526062	1	-0.301048972188712	-0.208192992678112	-0.0409610925398913	0.0923061901472651	-0.0364604500591935	0.155701869532184
"16PF Social Boldness"	-0.320585407601606	-0.243313062098944	0.336277940553087	-0.288815200887599	-0.267865628351357	0.244900109841389	-0.164463717488456	-0.0268272956776706	-0.109944624964602	0.295619932949098	0.0117201424237361	-0.101064925037166	-0.132820504208078	-0.154690636201846	0.070146815312301	0.256148833522828	0.379179529732904	0.436646224491606	-0.19098830938825	-0.301048972188712	1	0.195947930773135	0.088569880542242	0.171208643346462	0.396077429957843	0.0804100488995898
"SNI People"	-0.296444249448161	-0.290139585789753	0.26013446696142	-0.0316535015663374	-0.210085312110522	0.26688523311807	-0.152161280047524	-0.123738149267387	-0.0745773534845639	0.169970703517487	-0.0325915230744254	0.0651242361450493	0.0781500551207175	0.0741365461960098	0.0039240131035675	0.117783158295998	0.264719180122632	0.30431055667476	-0.234981400909736	-0.208192992678112	0.195947930773135	1	0.0310910779250649	0.133796281584531	0.0678293682900729	-0.0988632495691865
"16PF Sensitivity"	-0.105944290460863	-0.106259906889425	0.0732723508584896	0.00335682299640497	-0.136126719536057	0.200856608209306	-0.138931595365541	-0.273397071272292	-0.0671485127662438	0.0723812775223876	0.169016089509354	0.00828452773005807	0.138861871753766	-0.00361361875759518	-0.0012151762730925	0.190132525499069	0.261492152299803	0.144714799235898	0.0178664949742116	-0.0409610925398913	0.088569880542242	0.0310910779250649	1	-0.100811161056562	-0.0128811944011979	-0.207973286392466
"SQ"	-0.210077136118378	-0.214809617140741	0.231160523634395	-0.0586560144467574	-0.100651746765183	0.212802314347297	-0.216472888010494	0.0972102828136586	-0.0338697877200586	0.42135193835021	0.0257075682686172	0.0354843601817899	-0.00961055082257015	0.0167841006426166	0.0224156174093906	0.139328114288817	-0.0476140006588121	0.111245949132267	0.105013469822053	0.0923061901472651	0.171208643346462	0.133796281584531	-0.100811161056562	1	0.271887320599633	0.268059807235131
"16PF Dominance"	-0.114952854239243	-0.02522135337848	0.180826056239905	-0.174708038867394	-0.000597048001005151	-0.105149874146552	-0.0403130011198401	0.174200161226393	0.0458215721141219	0.227768762538628	0.0397225908852969	-0.106983773363932	-0.153871561894722	-0.0153317026090229	-0.0166505918223457	0.203021797163885	0.103446623163655	0.0649866308256498	-0.015691822440392	-0.0364604500591935	0.396077429957843	0.0678293682900729	-0.0128811944011979	0.271887320599633	1	0.233354238816157
"16PF Perfectionism"	0.137744605711434	0.0907500909794902	0.0415520502813675	0.154530007947681	0.130276435241122	-0.0628652152060933	0.029876604778981	0.294700377482082	-0.00833462219269698	0.147268169117261	-0.291363647147976	-0.24857250338589	-0.305246184615222	-0.222266609215701	0.299200363942865	-0.213826054573089	-0.0640994712936537	-0.123261859898705	0.182680294977595	0.155701869532184	0.0804100488995898	-0.0988632495691865	-0.207973286392466	0.268059807235131	0.233354238816157	1
